Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
Qatar-1 b,12.7,05/12/2024 20:14,05/12/2024 21:04,05/12/2024 21:53,01:40,10650.343,10650.377,10650.412,39,34,29,333,332,332,3.8,4.6,5.5,20:13:31.65 +65:09:44.39,21.4,1,1.42002429,4.00E-08,2457570.346,4.20E-05,,92,50,19:14,21:45,21,88
K2-178 b,12.4,06/12/2024 01:01,06/12/2024 02:45,06/12/2024 04:28,03:28,10650.542,10650.614,10650.686,72,49,26,255,272,282,1.3,3,4.8,03:31:33.32 +22:26:05.35,1.5,1,8.75470798,4.69E-05,2459451.225,0.002256,,92,50,23:51,04:11,23,105
TOI-5293 A b,16.2,05/12/2024 18:59,05/12/2024 19:57,05/12/2024 20:55,01:56,10650.291,10650.331,10650.372,56,59,56,154,181,208,-0.9,0,1,23:43:18.88 -02:02:42.34,50.8,1,2.930289,4.00E-06,2459448.915,0.0004,,91,50,19:09,21:58,21,48
Kepler-1532 b,15.3,05/12/2024 19:38,05/12/2024 20:21,05/12/2024 21:04,01:26,10650.318,10650.348,10650.378,44,36,28,301,302,304,3.6,4.4,5.1,19:47:36.67 +41:11:53.31,0.22,1,1.09366585,1.87E-06,2454965.472,0.00147,,89,19,19:09,20:55,21,65
K2-326 b,16,05/12/2024 22:08,05/12/2024 22:50,05/12/2024 23:32,01:25,10650.422,10650.451,10650.481,45,37,28,239,248,255,2.5,3.2,3.9,23:26:26.94 +01:20:15.33,0.92,1,1.256,0.002,2457739.045,,Duration estimated. ,89,9,19:09,23:23,21,45
K2-187 c,13.1,06/12/2024 04:49,06/12/2024 06:01,06/12/2024 07:12,02:23,10650.701,10650.75,10650.8,84,75,60,154,251,267,-0.2,1,2.2,08:50:05.65 +23:11:32.90,0.39,1,2.871512,0.00012,2457144.638,0.0027,,89,47,00:33,06:56,25,174
Kepler-1520 b,16,05/12/2024 18:57,05/12/2024 19:43,05/12/2024 20:30,01:32,10650.29,10650.322,10650.354,46,39,32,316,315,315,3.4,4.1,4.9,19:23:51.89 +51:30:17.16,4.3,1,0.65355357,1.60E-07,2454965.059,0.000202,,87,11,19:09,20:43,20,76
TrES-5 b,13.7,05/12/2024 20:27,05/12/2024 21:15,05/12/2024 22:03,01:35,10650.352,10650.385,10650.418,40,34,28,325,325,325,3.9,4.7,5.5,20:20:53.27 +59:26:56.05,21.9,1,1.48224687,9.00E-08,2457011.47,7.70E-05,,85,50,19:27,21:48,21,82
TOI-3540 A b,11.5,05/12/2024 21:08,05/12/2024 22:05,05/12/2024 23:02,01:54,10650.38,10650.42,10650.46,51,38,26,281,285,289,3,4,4.9,21:55:38.73 +28:10:46.20,0.23,1,3.119999,7.90E-06,2459109.141,0.00089,,85,50,20:02,22:45,21,53
Qatar-3 b,12.9,05/12/2024 22:21,05/12/2024 23:54,06/12/2024 01:27,03:07,10650.431,10650.496,10650.561,61,42,24,294,294,300,2.2,3.8,5.3,23:56:36.47 +36:12:46.64,7.9,1,2.50789979,7.50E-07,2457367.658,0.0001,,84,50,21:19,00:57,22,72
Kepler-76 b,13.5,05/12/2024 19:31,05/12/2024 20:14,05/12/2024 20:57,01:26,10650.313,10650.343,10650.373,44,35,27,299,300,302,3.7,4.4,5.1,19:36:46.11 +39:37:08.30,5.9,1,1.54492888,6.00E-08,2454966.549,3.10E-05,,83,18,19:09,20:42,21,64
Kepler-1200 b,16.1,05/12/2024 18:51,05/12/2024 19:37,05/12/2024 20:23,01:32,10650.285,10650.317,10650.349,53,44,36,306,305,306,2.9,3.6,4.4,19:46:24.82 +44:07:45.31,0.25,1,1.11854972,3.12E-06,2454965.847,0.00222,,80,21,19:09,20:57,20,68
